"類型","日期","內容"
"基金配息基準日","2022/03/03","本月基金配息基準日:復華新興市場高收益債券基金-新臺幣B、復華新興市場高收益債券基金-人民幣配息、 復華新興人民幣債券基金B、復華南非幣短期收益基金B、復華南非幣長期收益基金B"
"基金配息基準日","2022/03/04","本月基金配息基準日:本年基金配息基準日:安聯(境外德國系列)、配息基準日：宏利亞太入息債券基金、宏利新興市場高收益債券基金、宏利中國高收益債券基金、瑞銀亞洲高收益債券證券投資信託基金、瑞銀全方位高收益債券證券投資信託基金、瑞銀優質精選收益證券投資信託基金、瑞銀精選債券收益組合證券投資信託基金、瑞銀2027年到期優選新興市場債券基金、摩根(境內月配)、瀚亞境內(全高收、亞太高股息、亞太豐收)、合庫(全高收/新興多重/多元入息/特別股 / 六年到期ESG新興市場債券基金 / 美國短年期高收益債券基金/合庫全球醫療照護多重資產收益基金/合庫樂活安養ESG穩健成長組合基金/合庫樂活安養ESG積極成長組合基金)、野村投信債券型/多重資產基金(投資美國為主系列)、野村投信其他債券型(亞債/新興債/到期債)、柏瑞環球"
"基金配息基準日","2022/03/07","本月基金配息基準日:摩根(境外月配)、瀚亞境內(印度策略、印度基建債)、富蘭克林(境外)"
"基金配息基準日","2022/03/08","本月基金配息基準日:永豐"
"基金配息基準日","2022/03/11","本月基金配息基準日:日盛基金(亞高收、中高收、長照產業收益)"
"基金配息基準日","2022/03/14","本月基金配息基準日:台新、安聯(境外盧森堡系列)、瑞銀(境外)、鋒裕匯理投信(境內)"
"基金配息基準日","2022/03/29","本月基金配息基準日:安聯(境內)、PIMCO、匯豐(境外)"
"基金配息基準日","2022/03/30","本月基金配息基準日:安本標準投信(境內)、施羅德境外(環球系列/傘型II)、聯博(境內/境外)、貝萊德(境內/境外)、MFS全盛、鋒裕匯理投信(境外基金長鷹系列)"
"基金配息基準日","2022/03/31","本月基金配息基準日:基金配息基準日:新加坡大華(月配)、安本標準投信(境外)、 富達(境外)、景順(境外)、路博邁境外基金、路博邁境內基金路博邁全球高收益債券證券投資信託基金路博邁收益成長多重資產證券投資信託基金路博邁優質企業債券證券投資信託基金路博邁ESG新興市場債券證券投資信託基金、摩根境外環球債券收益月配、瀚亞境外(美優債/中國股/亞當債/美特優/歐洲投等債/美高收債/亞債/優公司債/全球新興債/全球價值股票/美複合債)、先機環球、第一金全球高收益債券基金B(月配息)、晉達、野村基金(愛爾蘭系列)、匯豐(境內)、柏瑞(境內)、本月境外基金AMUNDI系列配息基準日:鋒裕匯理投信、霸菱"
"基金配息基準日","2022/04/01","本月基金配息基準日:施羅德(境內)、NN(L)(債/平/股)"
"基金配息基準日","2022/04/06","本月基金配息基準日:群益、新光投信(新興富域債券基金)、柏瑞環球"
"基金配息基準日","2022/04/07","本月基金配息基準日:復華新興市場高收益債券基金-新臺幣B、復華新興市場高收益債券基金-人民幣配息、 復華新興人民幣債券基金B、復華南非幣短期收益基金B、復華南非幣長期收益基金B、摩根(境外月配)、富蘭克林(境外)"
"基金配息基準日","2022/04/08","本月基金配息基準日:永豐、配息基準日：宏利亞太入息債券基金、宏利新興市場高收益債券基金、宏利中國高收益債券基金、宏利中國離岸債券基金、瑞銀2023至2025年機動到期新興市場債券基金、瑞銀亞洲高收益債券證券投資信託基金、瑞銀全方位高收益債券證券投資信託基金、瑞銀優質精選收益證券投資信託基金、瑞銀精選債券收益組合證券投資信託基金、瑞銀2027年到期優選新興市場債券基金、摩根(境內月配/季配)、瀚亞境內(全高收、亞太高股息、亞太豐收)、合庫(全高收/新興多重/多元入息/特別股 / 六年到期新興市場債券基金 / 六年到期ESG新興市場債券基金/美國短年期高收益債券基金/合庫全球醫療照護多重資產收益基金/合庫樂活安養ESG穩健成長組合基金/合庫樂活安養ESG積極成長組合基金/合庫環境及社會責任多重資產基金)、野村投信債券型/多重資產基金(投資美國為主系列)、野村投信其他債券型(亞債/新興債/到期債)"
"基金配息基準日","2022/04/11","本月基金配息基準日:瀚亞境內(印度策略、印度基建債)"
"基金配息基準日","2022/04/14","本月基金配息基準日:安聯(境外盧森堡系列)、瑞銀(境外)、鋒裕匯理投信(境內)"
"基金配息基準日","2022/04/15","本月基金配息基準日:日盛基金(亞高收、中高收、長照產業收益)"
"基金配息基準日","2022/04/18","本月基金配息基準日:台新"
"基金配息基準日","2022/04/27","本月基金配息基準日:安聯(境內)、PIMCO、施羅德境外(環球系列/傘型II)、匯豐(境外)"
"基金配息基準日","2022/04/28","本月基金配息基準日:安本標準投信(境內)、聯博(境內/境外)、貝萊德(境內/境外)、MFS全盛、鋒裕匯理投信(境外基金長鷹系列)"
"基金配息基準日","2022/04/29","本月基金配息基準日:基金配息基準日:新加坡大華(月配)、安本標準投信(境外)、 富達(境外)、景順(境外)、路博邁境外基金、路博邁境內基金路博邁全球高收益債券證券投資信託基金路博邁收益成長多重資產證券投資信託基金路博邁優質企業債券證券投資信託基金路博邁ESG新興市場債券證券投資信託基金、摩根境外環球債券收益月配、瀚亞境外(美優債/中國股/亞當債/美特優/歐洲投等債/美高收債/亞債/優公司債/全球新興債/全球價值股票/美複合債)、先機環球、第一金全球高收益債券基金B(月配息)、晉達、野村基金(愛爾蘭系列)、匯豐(境內)、柏瑞(境內)、本月境外基金AMUNDI系列配息基準日:鋒裕匯理投信、霸菱"
"基金配息基準日","2022/05/02","本月基金配息基準日:NN(L)(債/平)"
"基金配息基準日","2022/05/03","本月基金配息基準日:施羅德(境內)、NN(L)(股)"
"基金配息基準日","2022/05/04","本月基金配息基準日:群益、新光投信(新興富域債券基金)"
"基金配息基準日","2022/05/05","本月基金配息基準日:復華新興市場高收益債券基金-新臺幣B、復華新興市場高收益債券基金-人民幣配息、 復華新興人民幣債券基金B、復華南非幣短期收益基金B、復華南非幣長期收益基金B"
"基金配息基準日","2022/05/06","本月基金配息基準日:瑞銀全方位高收益債券證券投資信託基金、瑞銀優質精選收益證券投資信託基金、瑞銀精選債券收益組合證券投資信託基金、瑞銀2027年到期優選新興市場債券基金、摩根(境內月配)、瀚亞境內(全高收、亞太高股息、亞太豐收)、合庫(全高收/新興多重/多元入息/特別股 / 六年到期ESG新興市場債券基金/美國短年期高收益債券基金/合庫全球醫療照護多重資產收益基金/合庫樂活安養ESG穩健成長組合基金/合庫樂活安養ESG積極成長組合基金/合庫環境及社會責任多重資產基金)、富蘭克林(境外)、野村投信債券型/多重資產基金(投資美國為主系列)、野村投信其他債券型(亞債/新興債/到期債)、柏瑞環球"
"基金配息基準日","2022/05/09","本月基金配息基準日:永豐、配息基準日：宏利新興市場高收益債券基金、瀚亞境內(印度策略、印度基建債)"
"基金配息基準日","2022/05/10","本月基金配息基準日:配息基準日：宏利亞太入息債券基金、宏利中國高收益債券基金、瑞銀亞洲高收益債券證券投資信託基金、摩根(境外月配/季配)"
"基金配息基準日","2022/05/13","本月基金配息基準日:日盛基金(亞高收、中高收、長照產業收益)、安聯(境外盧森堡系列)、瑞銀(境外)"
"基金配息基準日","2022/05/16","本月基金配息基準日:台新、鋒裕匯理投信(境內)"
"基金配息基準日","2022/05/24","本月基金配息基準日:PIMCO、匯豐(境外)"
"基金配息基準日","2022/05/25","本月基金配息基準日:施羅德境外(環球系列/傘型II)"
"基金配息基準日","2022/05/26","本月基金配息基準日:安聯(境內)"
"基金配息基準日","2022/05/27","本月基金配息基準日:安聯(境內)、聯博(境內1/境外)、貝萊德(境內)、MFS全盛"
"基金配息基準日","2022/05/30","本月基金配息基準日:安本標準投信(境內)、聯博新興市場企業債券基金、聯博亞太多重資產基金、聯博新興亞洲收益基金、貝萊德(境外)、鋒裕匯理投信(境外基金長鷹系列)"
"基金配息基準日","2022/05/31","本月基金配息基準日:基金配息基準日:新加坡大華(月配)、安本標準投信(境外)、 富達(境外)、景順(境外)、路博邁境外基金、路博邁境內基金路博邁全球高收益債券證券投資信託基金路博邁收益成長多重資產證券投資信託基金路博邁優質企業債券證券投資信託基金路博邁ESG新興市場債券證券投資信託基金、摩根境外環球債券收益月配、瀚亞境外(美優債/中國股/亞當債/美特優/歐洲投等債/美高收債/亞債/優公司債/全球新興債/全球價值股票/美複合債)、先機環球、第一金全球高收益債券基金B(月配息)、晉達、野村基金(愛爾蘭系列)、匯豐(境內)、柏瑞(境內)、本月境外基金AMUNDI系列配息基準日:鋒裕匯理投信、霸菱"
"基金配息基準日","2022/06/01","本月基金配息基準日:施羅德(境內)、NN(L)(債/平/股)"
"基金配息基準日","2022/06/02","本月基金配息基準日:群益、新光投信(新興富域債券基金)"
"基金配息基準日","2022/06/06","本月基金配息基準日:復華新興市場高收益債券基金-新臺幣B、復華新興市場高收益債券基金-人民幣配息、 復華新興人民幣債券基金B、復華南非幣短期收益基金B、復華南非幣長期收益基金B、摩根(境內月配)"
"基金配息基準日","2022/06/07","本月基金配息基準日:配息基準日：宏利亞太入息債券基金、宏利新興市場高收益債券基金、宏利中國高收益債券基金、瑞銀亞洲高收益債券證券投資信託基金、瑞銀全方位高收益債券證券投資信託基金、瑞銀優質精選收益證券投資信託基金、瑞銀2027年到期優選新興市場債券基金、摩根(境外月配)、瀚亞境內(亞太高股息、亞太豐收、印度策略、印度基建債)、合庫(全高收/新興多重/多元入息/特別股 / 六年到期ESG新興市場債券基金/美國短年期高收益債券基金/合庫全球醫療照護多重資產收益基金/合庫樂活安養ESG穩健成長組合基金/合庫樂活安養ESG積極成長組合基金/合庫環境及社會責任多重資產基金)、富蘭克林(境外)、野村投信債券型/多重資產基金(投資美國為主系列)、野村投信其他債券型(亞債/新興債/到期債)、柏瑞環球"
"基金配息基準日","2022/06/08","本月基金配息基準日:永豐、瀚亞境內(全高收)"
"基金配息基準日","2022/06/09","本月基金配息基準日:瑞銀精選債券收益組合證券投資信託基金"
"基金配息基準日","2022/06/14","本月基金配息基準日:日盛基金(亞高收、中高收、長照產業收益)、安聯(境外盧森堡系列)、瑞銀(境外)、鋒裕匯理投信(境內)"
"基金配息基準日","2022/06/15","本月基金配息基準日:台新"
"基金配息基準日","2022/06/28","本月基金配息基準日:安聯(境內)、PIMCO"
"基金配息基準日","2022/06/29","本月基金配息基準日:安本標準投信(境內)、施羅德境外(環球系列)、聯博(境內/境外)、貝萊德(境內/境外)、匯豐(境外)、MFS全盛、鋒裕匯理投信(境外基金長鷹系列)"
"基金配息基準日","2022/06/30","本月基金配息基準日:基金配息基準日:新加坡大華(月配)、安本標準投信(境外)、施羅德境外(傘型II)、 富達(境外)、景順(境外)、路博邁境外基金、路博邁境內基金路博邁全球高收益債券證券投資信託基金路博邁收益成長多重資產證券投資信託基金路博邁優質企業債券證券投資信託基金路博邁ESG新興市場債券證券投資信託基金、摩根境外環球債券收益月配、瀚亞境外(美優債/中國股/亞當債/美特優/歐洲投等債/美高收債/亞債/優公司債/全球新興債/全球價值股票/美複合債)、富蘭克林(境外)、先機環球、第一金全球高收益債券基金B(月配息)、晉達、野村基金(愛爾蘭系列)、匯豐(境內)、柏瑞(境內)、本月境外基金AMUNDI系列配息基準日:鋒裕匯理投信、霸菱"
"基金配息基準日","2022/07/01","本月基金配息基準日:NN(L)(債/平)"
"基金配息基準日","2022/07/04","本月基金配息基準日:群益、新光投信(新興富域債券基金)"
"基金配息基準日","2022/07/05","本月基金配息基準日:施羅德(境內)、復華南非幣短期收益基金B、復華南非幣長期收益基金B、NN(L)(股)"
"基金配息基準日","2022/07/06","本月基金配息基準日:配息基準日：宏利新興市場高收益債券基金、復華新興市場高收益債券基金-新臺幣B、復華新興市場高收益債券基金-人民幣配息、瑞銀2023至2025年機動到期新興市場債券基金、瑞銀2027年到期優選新興市場債券基金、摩根(境內月配/季配)、瀚亞境內(印度策略、印度基建債)、合庫(新興多重/多元入息/特別股 / 六年到期新興市場債券基金)、野村投信其他債券型(亞債/新興債/到期債)、柏瑞環球"
"基金配息基準日","2022/07/07","本月基金配息基準日:配息基準日：宏利亞太入息債券基金、宏利中國高收益債券基金、宏利中國離岸債券基金、復華新興人民幣債券基金B、瑞銀亞洲高收益債券證券投資信託基金、瑞銀全方位高收益債券證券投資信託基金、瑞銀優質精選收益證券投資信託基金、瑞銀精選債券收益組合證券投資信託基金、摩根(境外月配)、瀚亞境內(全高收、亞太高股息、亞太豐收)、合庫(全高收/新興多重/多元入息/特別股 / 六年到期ESG新興市場債券基金 / 六年到期ESG優先順位新興市場債券基金/美國短年期高收益債券基金/合庫全球醫療照護多重資產收益基金/合庫樂活安養ESG穩健成長組合基金/合庫樂活安養ESG積極成長組合基金/合庫環境及社會責任多重資產基金)、富蘭克林(境外)、野村投信債券型/多重資產基金(投資美國為主系列)"
"基金配息基準日","2022/07/08","本月基金配息基準日:永豐"
"基金配息基準日","2022/07/13","本月基金配息基準日:日盛基金(亞高收、中高收、長照產業收益)"
"基金配息基準日","2022/07/14","本月基金配息基準日:台新、安聯(境外盧森堡系列)、瑞銀(境外)、鋒裕匯理投信(境內)"
"基金配息基準日","2022/07/26","本月基金配息基準日:匯豐(境外)"
"基金配息基準日","2022/07/27","本月基金配息基準日:安聯(境內)、PIMCO、施羅德境外(環球系列/傘型II)"
"基金配息基準日","2022/07/28","本月基金配息基準日:安本標準投信(境內)、聯博(境內/境外)、貝萊德(境內/境外)、MFS全盛、鋒裕匯理投信(境外基金長鷹系列)"
"基金配息基準日","2022/07/29","本月基金配息基準日:基金配息基準日:新加坡大華(月配)、安本標準投信(境外)、 富達(境外)、景順(境外)、路博邁境外基金、路博邁境內基金路博邁全球高收益債券證券投資信託基金路博邁收益成長多重資產證券投資信託基金路博邁優質企業債券證券投資信託基金路博邁ESG新興市場債券證券投資信託基金、摩根境外環球債券收益月配、瀚亞境外(美優債/中國股/亞當債/美特優/歐洲投等債/美高收債/亞債/優公司債/全球新興債/全球價值股票/美複合債)、先機環球、第一金全球高收益債券基金B(月配息)、晉達、野村基金(愛爾蘭系列)、匯豐(境內)、柏瑞(境內)、本月境外基金AMUNDI系列配息基準日:鋒裕匯理投信、霸菱"
"基金配息基準日","2022/08/01","本月基金配息基準日:施羅德(境內)、NN(L)(債/平/股)"
"基金配息基準日","2022/08/02","本月基金配息基準日:群益、新光投信(新興富域債券基金)"
"基金配息基準日","2022/08/03","本月基金配息基準日:復華新興市場高收益債券基金-新臺幣B、復華新興市場高收益債券基金-人民幣配息、 復華新興人民幣債券基金B、復華南非幣短期收益基金B、復華南非幣長期收益基金B"
"基金配息基準日","2022/08/04","本月基金配息基準日:配息基準日：宏利亞太入息債券基金、宏利新興市場高收益債券基金、宏利中國高收益債券基金、瑞銀亞洲高收益債券證券投資信託基金、瑞銀全方位高收益債券證券投資信託基金、瑞銀優質精選收益證券投資信託基金、瑞銀精選債券收益組合證券投資信託基金、瑞銀2027年到期優選新興市場債券基金、瀚亞境內(全高收、亞太高股息、亞太豐收、印度策略、印度基建債)、合庫(全高收/新興多重/多元入息/特別股 / 六年到期ESG新興市場債券基金/美國短年期高收益債券基金/合庫全球醫療照護多重資產收益基金/合庫樂活安養ESG穩健成長組合基金/合庫樂活安養ESG積極成長組合基金/合庫環境及社會責任多重資產基金)、野村投信債券型/多重資產基金(投資美國為主系列)、野村投信其他債券型(亞債/新興債/到期債)"
"基金配息基準日","2022/08/05","本月基金配息基準日:摩根(境內月配)、富蘭克林(境外)、柏瑞環球"
"基金配息基準日","2022/08/08","本月基金配息基準日:永豐、摩根(境外月配/季配)"
"基金配息基準日","2022/08/11","本月基金配息基準日:日盛基金(亞高收、中高收、長照產業收益)"
"基金配息基準日","2022/08/12",""本月基金配息基準日:台新、安聯(境外盧森堡系列)"
"基金配息基準日","2022/08/15","本月基金配息基準日:鋒裕匯理投信(境內)"
"基金配息基準日","2022/08/24","本月基金配息基準日:施羅德境外(環球系列/傘型II)"
"基金配息基準日","2022/08/25","本月基金配息基準日:PIMCO、匯豐(境外)"
"基金配息基準日","2022/08/29","本月基金配息基準日:安聯(境內)"
"基金配息基準日","2022/08/30","本月基金配息基準日:安本標準投信(境內)、聯博(境內/境外)、貝萊德(境內/境外)、MFS全盛、鋒裕匯理投信(境外基金長鷹系列)"
"基金配息基準日","2022/08/31","本月基金配息基準日:基金配息基準日:新加坡大華(月配)、安本標準投信(境外)、 富達(境外)、景順(境外)、路博邁境外基金、路博邁境內基金路博邁全球高收益債券證券投資信託基金路博邁收益成長多重資產證券投資信託基金路博邁優質企業債券證券投資信託基金路博邁ESG新興市場債券證券投資信託基金、摩根境外環球債券收益月配、瀚亞境外(美優債/中國股/亞當債/美特優/歐洲投等債/美高收債/亞債/優公司債/全球新興債/全球價值股票/美複合債)、先機環球、第一金全球高收益債券基金B(月配息)、晉達、野村基金(愛爾蘭系列)、匯豐(境內)、柏瑞(境內)、本月境外基金AMUNDI系列配息基準日:鋒裕匯理投信、霸菱"
"基金配息基準日","2022/09/01","本月基金配息基準日:施羅德(境內)、NN(L)(債/平/股)"
"基金配息基準日","2022/09/02","本月基金配息基準日:群益、新光投信(新興富域債券基金)"
"基金配息基準日","2022/09/05","本月基金配息基準日:復華南非幣短期收益基金B、復華南非幣長期收益基金B"
"基金配息基準日","2022/09/06","本月基金配息基準日:配息基準日：宏利亞太入息債券基金、宏利新興市場高收益債券基金、宏利中國高收益債券基金、復華新興市場高收益債券基金-新臺幣B、復華新興市場高收益債券基金-人民幣配息、 復華新興人民幣債券基金B、瑞銀亞洲高收益債券證券投資信託基金、瑞銀2027年到期優選新興市場債券基金、摩根(境內月配)、瀚亞境內(亞太高股息、印度策略、印度基建債)、合庫(新興多重/多元入息)、野村投信其他債券型(亞債/新興債/到期債)、柏瑞環球"
"基金配息基準日","2022/09/07","本月基金配息基準日:瑞銀全方位高收益債券證券投資信託基金、瑞銀優質精選收益證券投資信託基金、瑞銀精選債券收益組合證券投資信託基金、摩根(境外月配)、瀚亞境內(全高收、亞太豐收)、合庫(全高收/新興多重/多元入息/特別股 / 六年到期ESG新興市場債券基金/美國短年期高收益債券基金/合庫全球醫療照護多重資產收益基金/合庫樂活安養ESG穩健成長組合基金/合庫樂活安養ESG積極成長組合基金/合庫環境及社會責任多重資產基金)、富蘭克林(境外)、野村投信債券型/多重資產基金(投資美國為主系列)"
"基金配息基準日","2022/09/08","本月基金配息基準日:永豐"
"基金配息基準日","2022/09/14","本月基金配息基準日:日盛基金(亞高收、中高收、長照產業收益)、安聯(境外盧森堡系列)、瑞銀(境外)、鋒裕匯理投信(境內)"
"基金配息基準日","2022/09/15","本月基金配息基準日:台新"
"基金配息基準日","2022/09/28","本月基金配息基準日:安聯(境內)、PIMCO、施羅德境外(環球系列/傘型II)"
"基金配息基準日","2022/09/29","本月基金配息基準日:安本標準投信(境內)、聯博(境內/境外)、貝萊德(境內/境外)、匯豐(境外)、MFS全盛、鋒裕匯理投信(境外基金長鷹系列)"
"基金配息基準日","2022/09/30","本月基金配息基準日:基金配息基準日:新加坡大華(月配)、安本標準投信(境外)、 富達(境外)、景順(境外)、路博邁境外基金、路博邁境內基金路博邁全球高收益債券證券投資信託基金路博邁收益成長多重資產證券投資信託基金路博邁優質企業債券證券投資信託基金路博邁ESG新興市場債券證券投資信託基金、摩根境外環球債券收益月配、瀚亞境外(美優債/中國股/亞當債/美特優/歐洲投等債/美高收債/亞債/優公司債/全球新興債/全球價值股票/美複合債)、先機環球、第一金全球高收益債券基金B(月配息)、晉達、野村基金(愛爾蘭系列)、匯豐(境內)、柏瑞(境內)、本月境外基金AMUNDI系列配息基準日:鋒裕匯理投信、霸菱"
"基金配息基準日","2022/10/03","本月基金配息基準日:施羅德(境內)、NN(L)(債/平/股)"
"基金配息基準日","2022/10/04","本月基金配息基準日:群益、新光投信(新興富域債券基金)"
"基金配息基準日","2022/10/05","本月基金配息基準日:復華新興市場高收益債券基金-新臺幣B、復華新興市場高收益債券基金-人民幣配息、 復華南非幣短期收益基金B、復華南非幣長期收益基金B"
"基金配息基準日","2022/10/06","本月基金配息基準日:配息基準日：宏利新興市場高收益債券基金、復華新興人民幣債券基金B、瑞銀2023至2025年機動到期新興市場債券基金、瑞銀全方位高收益債券證券投資信託基金、瑞銀優質精選收益證券投資信託基金、瑞銀精選債券收益組合證券投資信託基金、瑞銀2027年到期優選新興市場債券基金、摩根(境內月配/季配)、瀚亞境內(全高收、亞太豐收)、合庫(全高收/新興多重/多元入息/特別股 / 六年到期新興市場債券基金 / 六年到期ESG新興市場債券基金/美國短年期高收益債券基金/合庫全球醫療照護多重資產收益基金/合庫樂活安養ESG穩健成長組合基金/合庫樂活安養ESG積極成長組合基金/合庫環境及社會責任多重資產基金)、野村投信債券型/多重資產基金(投資美國為主系列)、野村投信其他債券型(亞債/新興債/到期債)、柏瑞環球"
"基金配息基準日","2022/10/07","本月基金配息基準日:配息基準日：宏利亞太入息債券基金、宏利中國高收益債券基金、宏利中國離岸債券基金、瑞銀亞洲高收益債券證券投資信託基金、瀚亞境內(亞太高股息、印度策略、印度基建債)、富蘭克林(境外)"
"基金配息基準日","2022/10/11","本月基金配息基準日:永豐、摩根(境外月配)"
"基金配息基準日","2022/10/14","本月基金配息基準日:日盛基金(亞高收、中高收、長照產業收益)、安聯(境外盧森堡系列)、瑞銀(境外)、鋒裕匯理投信(境內)"
"基金配息基準日","2022/10/17","本月基金配息基準日:台新"
"基金配息基準日","2022/10/26","本月基金配息基準日:施羅德境外(環球系列/傘型II)"
"基金配息基準日","2022/10/27","本月基金配息基準日:安聯(境內)、PIMCO、匯豐(境外)"
